sample,state,site,site_code,collector,collection,collection_year,state_site_code,glaciated_site,long_sample_id,lifestage,collector_id,pcr_id,replicate_group,structure_id,structure_id2,structure_id_spp,low_reads,lon,lat,region
S01,IL,Bell Smith Springs,BS,Duffy,D07002,2007,IL-BS,F,S01-IL-BS,gametophyte,Crepidomanes,Unknown,0,Unknown,Unknown,Unknown,T,-88.65615,37.51865,Illinois
S02,IL,Burden Falls,BF,Duffy,D07008,2007,IL-BF,F,S02-IL-BF,gametophyte,Crepidomanes,Non-Crepidomanes,0,Non-Crepidomanes,Vandenboschia,Vandenboschia,F,-88.64259,37.56377,Illinois
S03,IL,Sand Cave,SC,Duffy,D07011,2007,IL-SC,F,S03-IL-SC-1,gametophyte,Crepidomanes,Crepidomanes,0,Crepidomanes,Crepidomanes,Crepidomanes,F,-88.64342,37.50093,Illinois
S04,IL,Sand Cave,SC,Duffy,D07013,2007,IL-SC,F,S04-IL-SC-2,gametophyte,Crepidomanes,Crepidomanes,0,Crepidomanes,Crepidomanes,Crepidomanes,T,-88.64342,37.50093,Illinois
S05,IL,Pounds Hollow,PH,Duffy,D07020,2007,IL-PH,F,S05-IL-PH-1a,gametophyte,Crepidomanes,Crepidomanes,1,Crepidomanes,Crepidomanes,Crepidomanes,F,-88.27809,37.60255,Illinois
S06,IL,Pounds Hollow,PH,Duffy,D07020,2007,IL-PH,F,S06-IL-PH-1b,gametophyte,Crepidomanes,Crepidomanes,1,Crepidomanes,Crepidomanes,Crepidomanes,F,-88.27809,37.60255,Illinois
S07,IL,Pounds Hollow,PH,Duffy,D07030,2007,IL-PH,F,S07-IL-PH-2,gametophyte,Crepidomanes,Crepidomanes,0,Unknown,Unknown,Unknown (Crepidomanes + Vandenboschia?),F,-88.27809,37.60255,Illinois
S08,IL,Pounds Hollow,PH,Duffy,D07031,2007,IL-PH,F,S08-IL-PH-3,gametophyte,Crepidomanes,Crepidomanes,0,Crepidomanes,Crepidomanes,Crepidomanes,F,-88.27809,37.60255,Illinois
S09,IL,Garden of the Gods,GG,Duffy,D07032,2007,IL-GG,F,S09-IL-GG-1a,gametophyte,Crepidomanes,Crepidomanes,2,Crepidomanes,Crepidomanes,Crepidomanes,F,-88.384,37.60468,Illinois
S10,IL,Garden of the Gods,GG,Duffy,D07032,2007,IL-GG,F,S10-IL-GG-1b,gametophyte,Crepidomanes,Crepidomanes,2,Crepidomanes,Crepidomanes,Crepidomanes,F,-88.384,37.60468,Illinois
S11,IL,Fairy Cliff Cafe,FC,Duffy,D07033,2007,IL-FC,F,S11-IL-FC,gametophyte,Crepidomanes,Unknown,0,Non-Crepidomanes,Vandenboschia,Vandenboschia,F,-88.4418,37.58358,Illinois
S12,IL,Giant City,GC,Duffy,D07041,2007,IL-GC,F,S12-IL-GC-1,gametophyte,Crepidomanes,Crepidomanes,0,Unknown,Unknown,Unknown,F,-89.18833,37.60121,Illinois
S13,IL,Pomona Natural Bridge,PB,Duffy,D07042,2007,IL-PB,F,S13-IL-PB,gametophyte,Crepidomanes,Unknown,0,Unknown,Unknown,Unknown (Crepidomanes + Vandenboschia?),F,-89.34437,37.64812,Illinois
S14,IL,Little Grand Canyon,LG,Duffy,D07044,2007,IL-LG,F,S14-IL-LG-1,gametophyte,Crepidomanes,Crepidomanes,0,Crepidomanes,Crepidomanes,Crepidomanes,F,-89.39482,37.68087,Illinois
S15,IL,Little Grand Canyon,LG,Duffy,D07045,2007,IL-LG,F,S15-IL-LG-2,gametophyte,Crepidomanes,Crepidomanes,0,Crepidomanes,Crepidomanes,Crepidomanes,F,-89.39482,37.68087,Illinois
S16,IL,Little Grand Canyon,LG,Duffy,D07046,2007,IL-LG,F,S16-IL-LG-3a,gametophyte,Crepidomanes,Crepidomanes,3,Crepidomanes,Crepidomanes,Crepidomanes,F,-89.39482,37.68087,Illinois
S17,IL,Little Grand Canyon,LG,Duffy,D07046,2007,IL-LG,F,S17-IL-LG-3b,gametophyte,Crepidomanes,Crepidomanes,3,Crepidomanes,Crepidomanes,Crepidomanes,F,-89.39482,37.68087,Illinois
S18,IL,Piney Creek Ravine,PC,Duffy,D07050,2007,IL-PC,F,S18-IL-PC,gametophyte,Crepidomanes,Non-Crepidomanes,0,Non-Crepidomanes,Vandenboschia,Vandenboschia,F,-89.6382,37.89052,Illinois
S19,IN,Martin Co.,MC,Farrar,F1010,1965,IN-MC,F,S19-IN-MC,gametophyte,Crepidomanes,Unknown,0,Unknown,Unknown,Unknown,T,-86.821,38.691,Indiana
S20,AR,Newton Co.,NE,Farrar,F1170,1965,AR-NE,F,S20-AR-NE-1,gametophyte,Vandenboschia,Unknown,0,Unknown,Unknown,Unknown (Crepidomanes + Didymoglossum?),F,-93.178,35.955,Arkansas
S21,IL,Giant City,GC,Farrar,F1172-b,1965,IL-GC,F,S21-IL-GC-2,gametophyte,Crepidomanes,Crepidomanes,0,Unknown,Unknown,Unknown (Crepidomanes + Didymoglossum?),F,-89.18833,37.60121,Illinois
S22,IL,Little Grand Canyon,LG,Farrar,F1174,1965,IL-LG,F,S22-IL-LG-4,gametophyte,Crepidomanes,Unknown,0,Unknown,Unknown,Unknown,F,-89.39482,37.68087,Illinois
S23,AR,Newton Co.,NE,Farrar,F1176,1965,AR-NE,F,S23-AR-NE-2,gametophyte,Vandenboschia,Unknown,0,Non-Crepidomanes,Vandenboschia,Vandenboschia,T,-93.178,35.955,Arkansas
S24,AL,Noccollulah Falls,NF,Farrar,F1188,1965,AL-NF,F,S24-AL-NF,gametophyte,Crepidomanes,Non-Crepidomanes,0,Crepidomanes,Crepidomanes,Crepidomanes,T,-86.03073,34.03988,Alabama
S25,NC,Glen Falls,GF,Farrar,F1998-1,1998,NC-GF,F,S25-NC-GF,gametophyte,Crepidomanes,Crepidomanes,0,Unknown,Unknown,Unknown,F,-83.23878,35.03119,Atlantic
S26,AL,Guess Cave,GU,Farrar,F2002-1,2002,AL-GU,F,S26-AL-GU,gametophyte,Crepidomanes,Unknown,0,Non-Crepidomanes,Vandenboschia,Vandenboschia,F,-86.18445,34.81435,Alabama
S27,IL,Jackson Hollow,JH,Farrar,F2005-1,2005,IL-JH,F,S27-IL-JH-1,gametophyte,Crepidomanes,Crepidomanes,0,Unknown,Unknown,Unknown,T,-88.70808,37.51177,Illinois
S28,IL,Jackson Hollow,JH,Farrar,F2005-2,2005,IL-JH,F,S28-IL-JH-2,gametophyte,Crepidomanes,Crepidomanes,0,Crepidomanes,Crepidomanes,Crepidomanes,F,-88.70808,37.51177,Illinois
